## 产品完整信息
| 产品名称 | 分类 | 完整标题 | 产品URL | 参数数量 | 概述字数 | 优势字数 | 能力字数 | 应用场景字数 | 产品概述 | 核心优势 | 核心能力 | 应用场景 |
| PT95 | Drones | Write a Review | https://www.tjzdrone.com/products/pt95 | NaN | NaN | Data Link (reliable long-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | NaN | NaN | &le;3000m | 110km/h (stable security patrol speed) | NaN | NaN | Wingspan 5100mm, Length 2905mm | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 5000m | 200km (ground station control) | NaN | 10h (continuous long-range security operations) | NaN | NaN | 45kg (legitimate security support equipment) | 1100km (long-range security patrol) | 180km/h (rapid response security missions) | 100kg | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Long endurance, integrated reconnaissance and security response capability | NaN | NaN | 2 points | NaN | Legitimate Security Response Equipment | NaN | NaN | NaN | Gasoline-powered (high-power for long-endurance missions) | Electro-optical pod (situational awareness) | Autonomous Return to Base | NaN | NaN | NaN | NaN | NaN | Autonomous return to base (equipment safety) | NaN | 20kg | NaN | Supported (synchronized security monitoring) | Vertical Takeoff and Landing | No taxiway needed (vertical takeoff capability) | 55kg | Level 5 (take-off), Level 6 (in flight) |
| PTF5 | Drones | Write a Review | https://www.tjzdrone.com/products/ptf5 | NaN | NaN | Digital/Analog Image Transmission (reliable short-range transmission) | NaN | Remote Controller (authorized personnel operation) | NaN | &le;500m | 110km/h (stable transportation) | NaN | NaN | NaN | NaN | 300mm wingspan, 440mm length | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | &gt;500m | 15km (remote controller operation) | NaN | 40min (continuous ultra-light logistics operations) | NaN | NaN | NaN | 60km (short-range transportation) | 180km/h (rapid response transportation) | 1.1kg | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Ultra-Miniature, High Maneuverability Logistics Platform | 0.5kg (legitimate ultra-lightweight logistics &amp; support equipment) | NaN | NaN | 1 point (0.5kg rated capacity per point) | NaN | NaN | NaN | NaN | Electric-powered (clean energy for ultra-miniature payload) | Camera (for situational awareness &amp; logistics monitoring) | Remote Manual Landing | NaN | NaN | Remote Return &amp; Safety Recovery Function (enhanced safety) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Vertical Take-Off and Landing (VTOL) | No taxiway needed (VTOL capability) | 0.6kg | Level 6 (stable operation in harsh weather) |
| PT300 | Drones | Write a Review | https://www.tjzdrone.com/products/pt300 | NaN | NaN | Data Link (reliable medium-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | &le;2000m | 100-150km/h (adjustable for stable observation) | NaN | NaN | NaN | NaN | 1700mm wingspan, 1317mm length | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 3000m | 30km (ground station control) | NaN | 30min (continuous situational awareness operations) | NaN | NaN | NaN | 70km (short-range situational awareness) | 150km/h (rapid response mobility) | 12.5kg | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Individual Portable, Rapid Deployment Situational Awareness Platform | 2.5kg (legitimate situational awareness equipment) | NaN | NaN | 1 point (2.5kg rated capacity per point) | NaN | NaN | NaN | NaN | Electric-powered (clean energy for portable missions) | Electro-Optical Pod (for situational awareness &amp; monitoring) | Autonomous Return-to-Home | NaN | Autonomous Return-to-Home (enhanced safety) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Vertical Take-Off and Landing (VTOL) | No taxiway needed (VTOL capability) | 7.5kg | Level 5 (take-off), Level 6 (in flight) |
| PTM50 (Multi-rotor) | Drones | Write a Review | https://www.tjzdrone.com/products/ptm50-multi-rotor | NaN | NaN | Data Link (reliable medium-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | &le;2000m | 43km/h (stable transportation) | NaN | NaN | NaN | NaN | 2360mm\*2360mm\*1500mm | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 3200m | 20km (ground station control) | NaN | 170min (continuous heavy-duty logistics operations) | NaN | NaN | NaN | 120km (long-range transportation) | 54km/h (rapid response transportation) | 59kg | NaN | NaN | NaN | Supported (for legitimate logistics/situational awareness tasks) | NaN | NaN | NaN | NaN | Long-Endurance Multi-rotor, Multi-Payload Mission Platform | 20kg (legitimate heavy-duty logistics &amp; support equipment) | NaN | NaN | 5 points (4kg rated capacity per point, 20kg total safe load) | NaN | NaN | NaN | NaN | Gasoline-powered (long endurance for heavy-duty missions) | NaN | Autonomous Return-to-Home | NaN | Autonomous Return-to-Home (enhanced safety) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Vertical Take-Off and Landing (VTOL) | No taxiway needed (VTOL capability) | 39kg | Level 6 (stable operation in harsh weather) |
| PT250 | Drones | Write a Review | https://www.tjzdrone.com/products/pt250 | NaN | NaN | Data Link (reliable long-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | &le;2000m | 110km/h (stable transportation) | NaN | NaN | NaN | NaN | 1594mm wingspan, 1020mm length | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 3000m | 100km (ground station control) | NaN | 40min (continuous micro logistics operations) | NaN | NaN | NaN | 60km (medium-range transportation) | 200km/h (rapid response transportation) | 10kg | NaN | NaN | NaN | Supported (for legitimate logistics/situational awareness tasks) | NaN | NaN | NaN | NaN | Batched Rapid Deployment, Ultra-Light High-Speed Logistics Platform | 2.5kg (legitimate micro logistics &amp; support equipment) | NaN | NaN | 1 point (2.5kg rated capacity per point) | NaN | NaN | NaN | NaN | Electric-powered (clean energy for high-speed missions) | NaN | Optional Parachute Recovery | Optional Parachute Recovery &amp; Safety Return Function | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Pneumatic Catapult Take-Off (no runway required) | No taxiway needed (catapult take-off capability) | 7.5kg | Level 5 (take-off), Level 6 (in flight) |
| PT500 | Drones | Write a Review | https://www.tjzdrone.com/products/pt500 | NaN | NaN | Data Link (reliable long-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | &le;2000m | 70-120km/h (adjustable for stable transportation) | NaN | NaN | NaN | Single-Mission Deployment Logistics Platform | 1500mm wingspan, 1400mm length | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 3000m | 100km (ground station control) | NaN | 60min (continuous medium-range logistics operations) | NaN | NaN | NaN | 100km (medium-range logistics transportation) | 120km/h (rapid response transportation) | 7.5kg | NaN | NaN | NaN | Supported (for legitimate logistics/situational awareness tasks) | NaN | NaN | NaN | NaN | Medium-Range Logistics Delivery &amp; Support Platform | 5kg (legitimate medium-range logistics &amp; support equipment) | NaN | NaN | 1 point (5kg rated capacity per point) | NaN | NaN | NaN | NaN | Electric-powered (clean energy for medium-range missions) | NaN | NaN | NaN | NaN | NaN | Mission-Specific Deployment &amp; Safe Mission Completion Function | NaN | NaN | NaN | NaN | NaN | NaN | Pneumatic Catapult Take-Off (no runway required) | No taxiway needed (catapult take-off capability) | 2.5kg (ultra-lightweight design) | Level 5 (take-off), Level 6 (in flight) |
| PT150 | Drones | Write a Review | https://www.tjzdrone.com/products/pt150 | NaN | NaN | Data Link (reliable long-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | &le;2000m | 70-120km/h (adjustable for stable transportation) | NaN | NaN | NaN | Single-Mission Deployment Logistics Platform | 1100mm wingspan, 1000mm length | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 3000m | 100km (ground station control) | NaN | 60min (continuous medium-range micro logistics operations) | NaN | NaN | NaN | 100km (medium-range micro logistics transportation) | 120km/h (rapid response transportation) | 5kg | NaN | NaN | NaN | Supported (for legitimate logistics/situational awareness tasks) | NaN | NaN | NaN | NaN | Medium-Range Micro Logistics Delivery &amp; Support Platform | 1.5kg (legitimate medium-range micro logistics &amp; support equipment) | NaN | NaN | 1 point (1.5kg rated capacity per point) | NaN | NaN | NaN | NaN | Electric-powered (clean energy for medium-range missions) | NaN | NaN | NaN | NaN | NaN | Mission-Specific Deployment &amp; Safe Mission Completion Function | NaN | NaN | NaN | NaN | NaN | NaN | Pneumatic Catapult Take-Off (no runway required) | No taxiway needed (catapult take-off capability) | 3.5kg (lightweight design) | Level 5 (take-off), Level 6 (in flight) |
| PTM500 | Drones | Write a Review | https://www.tjzdrone.com/products/ptm500 | NaN | NaN | Data Link (reliable long-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | NaN | NaN | &le;5000m | 252km/h (stable security patrol speed) | NaN | NaN | Wingspan 1460mm, Length 2100mm | NaN | NaN | NaN | NaN | Mid-range security support &amp; monitoring platform | NaN | NaN | NaN | 7000m | 200km (ground station control) | 240km (medium-range security patrol) | 40min (continuous medium-range security operations) | NaN | NaN | 5kg (legitimate emergency support equipment) | NaN | 360km/h (rapid response security missions) | 34kg | NaN | NaN | Supported (synchronized security monitoring) | NaN | NaN | NaN | 29kg | NaN | NaN | NaN | NaN | 1 point | NaN | Legitimate Emergency Deployment Device | NaN | NaN | NaN | Gasoline (high-power for high-speed missions) | NaN | Single-Mission Deployment Design | NaN | NaN | NaN | NaN | Self-protection (anti-unauthorized use design) | NaN | NaN | 5kg | NaN | NaN | Pneumatic Catapult Take-Off (no taxiway required) | No taxiway needed (catapult take-off capability) | NaN | Level 5 (take-off), Level 6 (in flight) |
| PT180 | Drones | Write a Review | https://www.tjzdrone.com/products/pt180 | NaN | NaN | Data Link (reliable long-range transmission) | NaN | Ground Station (authorized personnel operation) | NaN | NaN | NaN | &le;3000m | 100km/h (stable security patrol speed) | NaN | NaN | Wingspan 8000mm, Length 3930mm | NaN | NaN | NaN | NaN | NaN | High payload, long endurance, integrated reconnaissance &amp; security response | NaN | NaN | 5000m | 200km (ground station control) | NaN | 8h (continuous long-range security operations) | NaN | NaN | 130kg (legitimate security support equipment) | 800km (long-range security patrol) | 180km/h (rapid response security missions) | 180kg | NaN | NaN | NaN | NaN | NaN | NaN | 50kg | NaN | NaN | NaN | 30kg | 4 points | NaN | Legitimate security response &amp; support equipment | NaN | NaN | NaN | Gasoline (high-power for long-endurance missions) | Electro-optical pod (situational awareness) | Autonomous Return to Base | NaN | NaN | NaN | NaN | NaN | Autonomous return to base (equipment safety) | NaN | NaN | NaN | Supported (synchronized security monitoring) | Runway Takeoff and Landing | 100m minimum runway distance | NaN | Level 5 (take-off), Level 7 (in flight) |
| PTH5000 | Drones | Write a Review | https://www.tjzdrone.com/products/pth5000 | Supported (enhanced signal stability in complex environments) | NaN | NaN | NaN | Ground Station (authorized personnel only) | NaN | NaN | NaN | &le;8000m | 630-730km/h (stable high-speed patrol) | Single-Mission Operational Design | NaN | Wingspan 1700mm, Length 4100mm | NaN | NaN | Electromagnetic security monitoring equipment (situational awareness) | NaN | NaN | NaN | NaN | NaN | 10000m | NaN | NaN | 55min (high-speed security response missions) | NaN | NaN | 50kg (legitimate security support equipment) | 1000km (long-range security patrol) | 0.94-1.5 mach (high-speed security response) | 175kg | NaN | NaN | NaN | NaN | GPS + Inertial Navigation, no external communication | GPS + Inertial Navigation, no external communication required | NaN | NaN | Long-range security access capability, high-speed response | NaN | 50kg | 1 point | NaN | Legitimate Security Response Equipment | NaN | NaN | NaN | Gasoline-powered (high-power for high-speed missions) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Controlled Safe Mission Completion Function (equipment safety) | NaN | NaN | NaN | Enhanced rapid takeoff system | No taxiway needed (enhanced rapid takeoff capability) | 125kg | Level 6 (take-off), Level 10 (in flight) |
| PT3500 | Drones | Write a Review | https://www.tjzdrone.com/products/pt3500 | Equipped with electromagnetic security anti-jamming equipment (enhanced stability) | NaN | NaN | NaN | Ground Station (authorized personnel only) | NaN | NaN | NaN | &le;3000m | 180-216km/h (stable medium-range patrol) | Single-Mission Operational Design | NaN | Wingspan 2154mm, Length 2523mm | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 3000m | NaN | NaN | 3-6 hours (continuous security monitoring) | NaN | NaN | 20kg-50kg (legitimate security support equipment) | 600-1000km (medium-range security patrol) | 216km/h (medium-range security response) | 140kg | NaN | NaN | NaN | NaN | GPS + Inertial Navigation, no external communication | GPS + Inertial Navigation, no external communication required | NaN | NaN | Long-range security response capability, rapid deployment | NaN | NaN | 1 point | NaN | Legitimate Security Response Equipment | NaN | NaN | NaN | Gasoline-powered (high-power for medium-range missions) | Electromagnetic &amp; radar security reconnaissance equipment (situational awareness) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Controlled Safe Mission Completion Function (equipment safety) | 50kg | NaN | NaN | Vehicle-mounted + Enhanced rapid takeoff system | No taxiway needed (enhanced rapid takeoff capability) | 90kg | Level 5 (take-off), Level 7 (in flight) |
| KX580 (High-Speed Model) | Drones | Write a Review | https://www.tjzdrone.com/products/kx580-high-speed | NaN | NaN | NaN | NaN | Remote Control (authorized personnel only) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 392&times;383&times;153mm (W&times;L&times;H) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 35min (continuous security monitoring) | 15km | NaN | 2kg (legitimate security support equipment) | NaN | 30m/s (108km/h) - high-speed security response | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Integrated Reconnaissance and Security Response Capability | NaN | NaN | 1 point | NaN | Legitimate Deployable Security Response Items | NaN | NaN | NaN | Electric-powered (low noise, high efficiency for covert missions) | Camera + Thermal Imaging (security reconnaissance &amp; situational awareness) | NaN | NaN | NaN | NaN | NaN | NaN | NaN | Remotely Controlled Return-to-Home (equipment safety) | NaN | NaN | NaN | NaN | NaN | 2.1kg | NaN |
